Id,Label,mergenode,businesstable
150,NCPC_SUBMISSION_DECISION.E55,NCPC_REVIEW.E7,domains
151,SUBMISSION_DECISION_AUTHORITY_DOCUMENT.E32,NCPC_REVIEW.E7,strings
154,NCPC_SUBMISSION_CONDITIONS.E62,NCPC_REVIEW.E7,strings
156,NCPC_SUBMISSION_NOTES.E62,NCPC_REVIEW.E7,strings
160,AFRH_PROJECT_CONTACT.E39,ACTIVITY_A.E7,
161,AFRH_PROJECT_CONTACT_NAME.E82,ACTIVITY_A.E7,strings
164,ACTIVITY_ARCHITECT.E39,ACTIVITY_A.E7,
165,ACTIVITY_ARCHITECT_TYPE.E55,ACTIVITY_A.E7,strings
167,ACTIVITY_ARCHITECT_NAME.E82,ACTIVITY_A.E7,strings
170,ACTIVITY_CONTRACTOR.E39,ACTIVITY_A.E7,
171,ACTIVITY_CONTRACTOR_TYPE.E55,ACTIVITY_A.E7,strings
173,ACTIVITY_CONTRACTOR_NAME.E82,ACTIVITY_A.E7,strings
176,ACTIVITY_ENGINEER.E39,ACTIVITY_A.E7,
177,ACTIVITY_ENGINEER_TYPE.E55,ACTIVITY_A.E7,strings
179,ACTIVITY_ENGINEER_NAME.E82,ACTIVITY_A.E7,strings
182,ACTIVITY_ARCHAEOLOGIST.E39,ACTIVITY_A.E7,
183,ACTIVITY_ARCHAEOLOGIST_NAME.E82,ACTIVITY_A.E7,strings
186,ACTIVITY_CONSULTANT.E39,ACTIVITY_A.E7,
187,ACTIVITY_CONSULTANT_TYPE.E55,ACTIVITY_A.E7,strings
189,ACTIVITY_CONSULTANT_NAME.E82,ACTIVITY_A.E7,strings
192,ACTIVITY_CONSULTING_PARTY.E39,ACTIVITY_A.E7,
193,ACTIVITY_CONSULTING_PARTY_NAME.E82,ACTIVITY_A.E7,strings
196,ACTIVITY_NCPC_CONTACT.E39,ACTIVITY_A.E7,
197,ACTIVITY_NCPC_CONTACT_NAME.E82,ACTIVITY_A.E7,strings
200,ACTIVITY_CFA_CONTACT.E39,ACTIVITY_A.E7,
201,ACTIVITY_CFA_CONTACT_NAME.E82,ACTIVITY_A.E7,strings
204,ACTIVITY_DCSHPO_CONTACT.E39,ACTIVITY_A.E7,
205,ACTIVITY_DCSHPO_CONTACT_NAME.E82,ACTIVITY_A.E7,strings
208,ACTIVITY_ENTITIES_NOTE.E62,ACTIVITY_A.E7,strings
